variant,shift,MSE_mean,MSE_std,MAE_mean,MAE_std,parameter_count_mean,train_wall_seconds_mean,train_wall_seconds_std,inference_wall_seconds_mean,inference_wall_seconds_std,train_peak_gpu_memory_mib_mean
apn,burst,0.33525100350379944,0.0024535939627535475,0.38256027301152545,0.0006558640810968292,6701.0,98.32842926665519,23.76766649472364,9.008369066674883,0.028667446845144752,59.515625
apn,mcar,0.3593129018942515,0.0009003294478715669,0.40194348494211835,0.0014897619259613179,6701.0,98.32842926665519,23.76766649472364,8.69210669999787,0.19539654046641236,59.515625
apn,none,0.3123311996459961,0.0005123433894303411,0.3653342028458913,0.0008630933733830852,6701.0,98.32842926665519,23.76766649472364,7.380374533318293,0.06449389298930712,59.515625
evipatch_full,burst,0.3361357053120931,0.002838951021069965,0.3834450642267863,0.0019247863071849517,6773.0,99.77773159998469,12.074154802990344,9.130658466640549,0.18295434623612833,67.23828125
evipatch_full,mcar,0.35911475618680316,0.0004074340143649477,0.4016747574011485,0.0004100223229911915,6773.0,99.77773159998469,12.074154802990344,8.734850299932683,0.0358389448098942,67.23828125
evipatch_full,none,0.31345824400583905,0.0008072080754160248,0.3663166364034017,0.0011546020375459345,6773.0,99.77773159998469,12.074154802990344,7.328226800037858,0.041410719001047466,67.23828125
global_ratio,burst,0.33505070209503174,0.0030626840660512474,0.3839868704477946,0.0005976342527562737,6725.0,112.14449619998534,8.615500169547749,9.027759133333651,0.02625394271362399,66.79736328125
global_ratio,mcar,0.3576981524626414,0.00047198203426177644,0.4017083942890167,0.0011893528617865593,6725.0,112.14449619998534,8.615500169547749,8.631119533325545,0.09676728646101335,66.79736328125
global_ratio,none,0.312529335419337,0.0005342533888274387,0.36697853604952496,0.0007977158158105388,6725.0,112.14449619998534,8.615500169547749,7.328813633299433,0.0368104260564167,66.79736328125
random_features,burst,0.3347441256046295,0.002651977846451178,0.3823801279067993,0.0017101138896118704,6773.0,131.90983439997459,54.46072198499533,9.03859246665767,0.055204102371741004,67.24658203125
random_features,mcar,0.35876431067784625,0.0004895270294350697,0.4018453359603882,0.0014178844142492424,6773.0,131.90983439997459,54.46072198499533,8.720749800015861,0.08070284713205071,67.24658203125
random_features,none,0.3115669588247935,0.0005889968851482313,0.3644174635410309,0.0007763914372738989,6773.0,131.90983439997459,54.46072198499533,7.307713566697203,0.038650981668400496,67.24658203125
raw_count,burst,0.33592042326927185,0.002247557872464134,0.3838914732138316,0.0006572862484073278,6725.0,107.38311383329953,5.57505469692526,9.071698566665873,0.06657769320261067,66.79736328125
raw_count,mcar,0.3590281705061595,0.0015723807883290905,0.40191060304641724,0.0015615431913425916,6725.0,107.38311383329953,5.57505469692526,8.83238869998604,0.08401956591185841,66.79736328125
raw_count,none,0.31307440002759296,0.0004102383870986718,0.36679090062777203,0.0012539801512596652,6725.0,107.38311383329953,5.57505469692526,7.3182953999688225,0.005911361909603126,66.79736328125
shuffled_evidence,burst,0.33460794885953266,0.0022082722808752647,0.3815385897954305,0.0013225809034911745,6773.0,105.04927056663048,9.531983079316142,9.054619999990487,0.06436888970367677,67.23828125
shuffled_evidence,mcar,0.357635756333669,0.001115311057491872,0.3995797832806905,0.003086448568892995,6773.0,105.04927056663048,9.531983079316142,8.84785239996078,0.212254943101894,67.23828125
shuffled_evidence,none,0.31178847948710126,0.0002716683270244143,0.3645081619421641,0.0019032997750153904,6773.0,105.04927056663048,9.531983079316142,7.3590902333380654,0.06441416976717311,67.23828125
soft_mass,burst,0.33649847904841107,0.0031555985992741137,0.3839561740557353,0.0014582510538037811,6725.0,109.25775426665011,4.783839042846677,9.153473566674316,0.14522749518039674,66.79736328125
soft_mass,mcar,0.36029772957166034,0.0005770768910000582,0.4026857912540436,0.00018109822293876422,6725.0,109.25775426665011,4.783839042846677,8.712806500028819,0.20837111703961633,66.79736328125
soft_mass,none,0.31316231687863666,0.00026472451039096623,0.3669365346431732,0.0003670407601009797,6725.0,109.25775426665011,4.783839042846677,7.463721233303659,0.20917152229876315,66.79736328125
apn,macro,0.33563170168134904,0.0006564822192953259,0.3832793202665117,0.0006302833413372555,,,,,,
evipatch_full,macro,0.33623623516824513,0.001052152269825375,0.38381215267711216,0.0009236018231850227,,,,,,
global_ratio,macro,0.33509272999233675,0.0012224593745355508,0.3842246002621121,0.0004637975291204315,,,,,,
random_features,macro,0.3350251317024231,0.0010251865757953422,0.38288097580273944,0.000957557514140257,,,,,,
raw_count,macro,0.3360076646010081,0.001015601081730203,0.3841976589626736,0.0009675151528357236,,,,,,
shuffled_evidence,macro,0.33467739489343434,0.0004827118833453334,0.38187551167276174,0.002039147672354861,,,,,,
soft_mass,macro,0.33665284183290267,0.0013075564260869358,0.38452616665098405,0.000323193274037825,,,,,,
